Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2023,"Aaron Judge","NYY",120,0,0,0,1,0.066666666,0.291666666,0,0,0.19166667,0.46666667,0.34166667,0.1,0.325,0.575,15640
2023,"Dominic Smith","WSN",164,0,0,0,1,0.054878048,0.073170731,0,0,0.20121951,0.35365854,0.44512195,0.15853659,0.47560976,0.36585366,15653
2023,"Jose Abreu","HOU",151,0,0,0,1,0.079470198,0.112582781,0,0,0.23178808,0.39735099,0.37086093,0.20529801,0.45033113,0.34437086,15676
2023,"Rowdy Tellez","MIL",99,0,0,0,1,0.101010101,0.131313131,0,0,0.21212121,0.42424242,0.36363636,0.2020202,0.41414141,0.38383838,15679
2023,"Tyler O'Neill","STL",65,0,0,0,1,0.092307692,0.138461538,0,0,0.2,0.4,0.4,0.2,0.46153846,0.33846154,15711
2023,"Aledmys Diaz","OAK",86,0,0,0,1,0.15116279,0.046511627,0,0,0.29069767,0.38372093,0.3255814,0.26744186,0.44186047,0.29069767,15937
2023,"Willy Adames","MIL",176,0,0,0,1,0.113636363,0.136363636,0,0,0.30113636,0.39204545,0.30681818,0.22727273,0.375,0.39772727,15986
2023,"Cody Bellinger","CHC",184,0,0,0,1,0.108695652,0.141304347,0,0,0.33152174,0.4076087,0.26086957,0.19021739,0.45108696,0.35869565,15998
2023,"J.D. Davis","SFG",92,0,0,0,1,0.054347826,0.195652173,0,0,0.20652174,0.32608696,0.4673913,0.14130435,0.43478261,0.42391304,16219
2023,"Trea Turner","PHI",193,0,0,0,1,0.077720207,0.129533678,0,0,0.25388601,0.37823834,0.36787565,0.12953368,0.48186528,0.38860104,16252
2023,"Michael Conforto","SFG",116,0,0,0,1,0.077586206,0.129310344,0,0,0.21551724,0.38793103,0.39655172,0.15652174,0.46956522,0.37391304,16376
2023,"Thairo Estrada","SFG",129,0,0,0,1,0.131782945,0.108527131,0,0,0.41860465,0.29457364,0.28682171,0.21259843,0.44094488,0.34645669,16426
2023,"Ryan O'Hearn","BAL",97,0,0,0,1,0.051546391,0.134020618,0,0,0.17525773,0.35051546,0.4742268,0.12371134,0.49484536,0.3814433,16442
2023,"Kyle Schwarber","PHI",184,0,0,0,1,0.157608695,0.233695652,0,0,0.39130435,0.375,0.23369565,0.25,0.35326087,0.39673913,16478
2023,"Matt Chapman","TOR",171,0,0,0,1,0.14619883,0.093567251,0,0,0.16374269,0.45614035,0.38011696,0.21637427,0.41520468,0.36842105,16505
2023,"Isiah Kiner-Falefa","NYY",66,0,0,0,1,0.06060606,0.09090909,0,0,0.18181818,0.45454545,0.36363636,0.12121212,0.60606061,0.27272727,16512
2023,"Mauricio Dubon","HOU",135,0,0,0,1,0.066666666,0.066666666,0,0,0.17037037,0.36296296,0.46666667,0.19259259,0.48148148,0.32592593,16530
